Vendor_ID,Vendor_Type,Area,Latitude,Longitude,Customer_Footfall,Traffic_Congestion_Level,Waste_Generation_kg,Peak_Hour,Digital_Payment_Available,Timestamp
V001,Flowers,Hospital Zone,13.055406,77.649727,427,4,8.24,Afternoon,No,2026-05-07 13:39:00
V002,Flowers,Railway Station,12.906351,77.639731,31,4,18.05,Afternoon,No,2026-05-06 02:02:00
V003,Fruit,Mall Junction,13.02609,77.552598,454,2,5.02,Evening,Yes,2026-05-06 02:31:00
V004,Fruit,Mall Junction,13.071292,77.642561,301,10,5.32,Evening,No,2026-05-04 12:04:00
V005,Flowers,Mall Junction,12.932021,77.625361,465,2,6.64,Afternoon,No,2026-05-04 21:40:00
V006,Tea Stall,Hospital Zone,12.920759,77.653154,401,1,18.32,Morning,No,2026-05-04 09:30:00
V007,Snacks,Market Road,12.93616,77.600895,373,10,16.69,Afternoon,No,2026-05-03 07:35:00
V008,Flowers,City Center,12.960342,77.602418,173,9,13.55,Afternoon,Yes,2026-05-05 06:35:00
V009,Food,College Area,12.916498,77.662338,193,8,16.72,Morning,No,2026-05-04 02:01:00
V010,Flowers,Market Road,13.079992,77.694457,45,1,2.07,Evening,No,2026-05-02 11:25:00
V011,Tea Stall,City Center,12.988462,77.540163,316,8,1.7,Evening,Yes,2026-05-05 06:58:00
V012,Fruit,College Area,13.090821,77.689458,76,2,1.76,Morning,No,2026-05-07 06:39:00
V013,Food,City Center,13.098344,77.555173,351,3,4.44,Afternoon,No,2026-05-04 05:01:00
V014,Flowers,Market Road,12.980497,77.58887,448,2,2.18,Afternoon,Yes,2026-05-07 20:54:00
V015,Flowers,Bus Stand,13.066249,77.652359,320,1,7.23,Afternoon,Yes,2026-05-07 11:55:00
V016,Snacks,City Center,12.918819,77.626152,23,7,2.96,Evening,Yes,2026-05-03 23:39:00
V017,Electronics,Mall Junction,12.979741,77.553872,471,1,18.51,Afternoon,No,2026-05-04 23:29:00
V018,Clothing,Hospital Zone,12.911219,77.5196,483,10,2.62,Evening,No,2026-05-04 11:51:00
V019,Flowers,Tech Park,13.08479,77.696975,49,10,4.22,Evening,No,2026-05-03 12:55:00
V020,Fruit,Bus Stand,12.920786,77.536355,123,1,10.56,Morning,Yes,2026-05-04 12:58:00
V021,Flowers,College Area,13.030559,77.569972,87,5,13.61,Evening,No,2026-05-02 05:04:00
V022,Tea Stall,Bus Stand,13.053128,77.548484,294,5,6.65,Morning,Yes,2026-05-02 15:50:00
V023,Books,Market Road,13.062513,77.580991,286,7,11.29,Morning,Yes,2026-05-06 00:28:00
V024,Flowers,Tech Park,12.910677,77.545536,26,9,11.09,Morning,Yes,2026-05-04 14:15:00
V025,Electronics,Bus Stand,12.924016,77.607382,21,5,0.98,Morning,No,2026-05-03 11:12:00
V026,Fruit,Tech Park,12.944652,77.511157,64,3,10.49,Afternoon,Yes,2026-05-02 09:12:00
V027,Electronics,Mall Junction,12.948062,77.648319,126,2,5.58,Evening,No,2026-05-07 06:03:00
V028,Flowers,College Area,12.985427,77.569972,95,2,9.3,Morning,Yes,2026-05-05 20:13:00
V029,Electronics,College Area,13.036904,77.691903,461,6,19.89,Afternoon,Yes,2026-05-06 21:13:00
V030,Snacks,Market Road,13.089549,77.569856,287,5,7.1,Morning,No,2026-05-02 04:12:00
V031,Fruit,Mall Junction,12.992376,77.512854,304,5,12.03,Afternoon,Yes,2026-05-01 18:27:00
V032,Fruit,Railway Station,13.099668,77.543482,218,9,16.57,Afternoon,No,2026-05-03 14:04:00
V033,Books,Hospital Zone,13.084767,77.62091,407,10,19.08,Afternoon,No,2026-05-05 09:20:00
V034,Fruit,Tech Park,13.046706,77.610966,483,7,2.54,Morning,Yes,2026-05-03 01:56:00
V035,Books,Hospital Zone,12.918373,77.637325,493,9,3.3,Evening,Yes,2026-05-01 15:58:00
V036,Tea Stall,Mall Junction,12.982355,77.594112,205,2,17.74,Afternoon,Yes,2026-05-06 21:10:00
V037,Clothing,Tech Park,12.913399,77.639445,335,6,15.71,Evening,Yes,2026-05-02 18:04:00
V038,Clothing,Hospital Zone,13.048529,77.640051,466,2,13.51,Afternoon,No,2026-05-03 18:09:00
V039,Fruit,Market Road,13.099369,77.579448,368,5,2.3,Evening,No,2026-05-02 16:42:00
V040,Snacks,Tech Park,13.099832,77.622126,348,5,17.81,Morning,No,2026-05-03 17:33:00
V041,Tea Stall,Mall Junction,12.917939,77.568046,297,4,6.42,Afternoon,No,2026-05-06 23:10:00
V042,Clothing,Railway Station,13.068651,77.665284,323,8,0.96,Evening,Yes,2026-05-06 00:56:00
V043,Tea Stall,Market Road,12.999646,77.615168,296,2,16.7,Morning,Yes,2026-05-03 15:32:00
V044,Flowers,College Area,13.00354,77.577636,209,2,16.79,Evening,Yes,2026-05-05 16:20:00
V045,Books,Hospital Zone,12.951699,77.528194,326,2,17.57,Evening,Yes,2026-05-06 09:24:00
V046,Flowers,Railway Station,13.060783,77.554435,470,9,12.36,Morning,Yes,2026-05-07 02:00:00
V047,Snacks,Market Road,12.968427,77.525729,442,10,18.45,Morning,No,2026-05-06 07:15:00
V048,Fruit,City Center,13.056536,77.585644,416,7,0.65,Afternoon,No,2026-05-03 21:32:00
V049,Books,Hospital Zone,12.964605,77.630539,108,2,9.29,Evening,Yes,2026-05-06 08:12:00
V050,Tea Stall,Market Road,12.91635,77.655921,440,7,10.38,Evening,Yes,2026-05-05 15:51:00
V051,Food,City Center,13.045715,77.65426,210,5,15.79,Afternoon,No,2026-05-04 06:47:00
V052,Flowers,City Center,13.048697,77.56256,499,2,10.29,Morning,Yes,2026-05-07 12:46:00
V053,Electronics,Bus Stand,13.023142,77.568224,389,10,10.72,Evening,No,2026-05-01 14:55:00
V054,Books,Mall Junction,12.970016,77.610304,306,7,8.37,Afternoon,Yes,2026-05-06 07:12:00
V055,Fruit,Railway Station,12.941847,77.543041,91,2,8.6,Evening,No,2026-05-06 17:33:00
V056,Electronics,Tech Park,13.080524,77.612437,433,6,8.73,Morning,No,2026-05-06 18:17:00
V057,Electronics,Railway Station,13.089052,77.519324,278,8,6.37,Evening,No,2026-05-05 21:02:00
V058,Electronics,Hospital Zone,13.097813,77.502978,459,7,2.52,Afternoon,Yes,2026-05-03 12:40:00
V059,Snacks,Mall Junction,12.907158,77.541148,287,10,11.19,Morning,Yes,2026-05-03 15:59:00
V060,Snacks,Railway Station,13.049609,77.529883,392,10,6.95,Morning,No,2026-05-07 13:23:00
V061,Tea Stall,City Center,13.095228,77.625574,103,10,4.04,Evening,Yes,2026-05-01 23:59:00
V062,Food,Mall Junction,12.91472,77.589951,167,1,9.04,Evening,Yes,2026-05-06 06:18:00
V063,Food,Hospital Zone,12.961219,77.613836,263,6,12.02,Evening,Yes,2026-05-03 15:33:00
V064,Books,Railway Station,13.071968,77.510985,158,8,3.25,Afternoon,Yes,2026-05-07 01:50:00
V065,Books,Hospital Zone,12.999158,77.603362,155,4,16.6,Morning,Yes,2026-05-01 11:33:00
V066,Fruit,Tech Park,13.009956,77.519352,500,6,3.48,Morning,Yes,2026-05-03 03:15:00
V067,Snacks,Bus Stand,13.083812,77.594744,76,7,17.7,Morning,Yes,2026-05-07 21:35:00
V068,Food,Tech Park,12.973105,77.652781,495,10,15.99,Morning,Yes,2026-05-02 07:37:00
V069,Electronics,Bus Stand,13.062294,77.527981,41,5,3.18,Morning,Yes,2026-05-02 19:45:00
V070,Electronics,Hospital Zone,13.09931,77.692632,73,2,12.45,Evening,No,2026-05-04 08:29:00
V071,Fruit,City Center,12.973685,77.682272,163,5,7.76,Afternoon,Yes,2026-05-04 12:54:00
V072,Electronics,Bus Stand,12.954356,77.66059,219,1,13.47,Morning,Yes,2026-05-03 22:31:00
V073,Fruit,Mall Junction,12.989124,77.575068,119,3,14.45,Evening,Yes,2026-05-06 09:10:00
V074,Flowers,College Area,13.091972,77.533219,255,4,3.28,Morning,Yes,2026-05-02 16:18:00
V075,Snacks,Mall Junction,12.949159,77.514277,256,4,9.68,Afternoon,No,2026-05-03 12:05:00
V076,Books,Tech Park,13.017145,77.64756,22,5,12.33,Afternoon,No,2026-05-05 06:49:00
V077,Food,Bus Stand,12.964627,77.542411,406,8,14.1,Evening,No,2026-05-03 15:51:00
V078,Food,College Area,13.049507,77.606493,260,3,6.41,Evening,Yes,2026-05-02 07:07:00
V079,Snacks,City Center,13.017757,77.616631,82,7,10.33,Afternoon,Yes,2026-05-05 08:24:00
V080,Books,Hospital Zone,12.911652,77.518282,255,8,16.63,Evening,No,2026-05-07 13:23:00
V081,Clothing,Tech Park,12.962641,77.515172,45,9,17.34,Morning,No,2026-05-04 18:46:00
